dnid,dnname,dnlatitude,dnlongitude,dnradius
4885033022,경상남도 하동군 적량면 우계리,35.1053298,127.7537608,3.065
4885033023,경상남도 하동군 적량면 동리,35.11323178,127.7774807,2.188
4885033024,경상남도 하동군 적량면 서리,35.13731899,127.752025,2.817
4885033025,경상남도 하동군 적량면 동산리,35.07753047,127.7798179,1.998
4885033026,경상남도 하동군 적량면 고절리,35.06021523,127.7910125,1.83
4885034000,경상남도 하동군 횡천면,35.12076045,127.8158217,6.467
4885034021,경상남도 하동군 횡천면 전대리,35.15443457,127.8242013,2.729
4885034022,경상남도 하동군 횡천면 애치리,35.12650889,127.8322281,1.755
4885034023,경상남도 하동군 횡천면 여의리,35.10831652,127.8278732,1.194
4885034024,경상남도 하동군 횡천면 횡천리,35.1101836,127.8091113,1.965
4885034025,경상남도 하동군 횡천면 월평리,35.12936315,127.8103839,1.797
4885034026,경상남도 하동군 횡천면 남산리,35.10052698,127.7959159,1.643
4885034027,경상남도 하동군 횡천면 학리,35.08135422,127.8039254,2.206
4885035000,경상남도 하동군 고전면,35.0272443,127.8154072,4.908
4885035021,경상남도 하동군 고전면 범아리,35.02140234,127.810599,1.824
4885035022,경상남도 하동군 고전면 성천리,35.04914082,127.8163358,2.261
4885035023,경상남도 하동군 고전면 신월리,35.03414742,127.7928278,2.274
4885035024,경상남도 하동군 고전면 전도리,35.00110753,127.7938675,1.557
4885035025,경상남도 하동군 고전면 대덕리,35.00915045,127.8137199,1.172
4885035026,경상남도 하동군 고전면 고하리,35.02811679,127.8328903,2.049
4885035027,경상남도 하동군 고전면 성평리,35.01533038,127.8449391,1.636
4885035028,경상남도 하동군 고전면 명교리,35.02931903,127.8507035,1.17
4885036000,경상남도 하동군 금남면,34.98277975,127.8549027,53.801
4885036022,경상남도 하동군 금남면 중평리,34.99351399,127.8925019,51.202
4885036023,경상남도 하동군 금남면 대치리,34.9713497,127.8844106,2.215
4885036024,경상남도 하동군 금남면 노량리,34.95753597,127.8732439,1.546
4885036025,경상남도 하동군 금남면 송문리,34.9607652,127.8562449,1.68
4885036026,경상남도 하동군 금남면 대송리,34.97576248,127.850899,2.675
4885036027,경상남도 하동군 금남면 덕천리,34.9966538,127.8440167,2.301
4885036028,경상남도 하동군 금남면 진정리,34.97964732,127.8248948,2.152
4885036030,경상남도 하동군 금남면 계천리,34.99476802,127.8116773,1.481
4885036034,경상남도 하동군 금남면 대도리,34.93152786,127.8320091,0.84
4885037000,경상남도 하동군 진교면,35.03362958,127.8937456,6.511
4885037021,경상남도 하동군 진교면 진교리,35.03104743,127.8995286,1.178
4885037022,경상남도 하동군 진교면 백련리,35.03034535,127.8761167,1.967
4885037023,경상남도 하동군 진교면 안심리,35.01724387,127.8740985,1.81
4885037024,경상남도 하동군 진교면 고룡리,35.00837045,127.885123,2.608
4885037025,경상남도 하동군 진교면 양포리,35.00330607,127.9031871,2.44
4885037026,경상남도 하동군 진교면 관곡리,35.05063168,127.890365,1.955
